grupa,grupa_redoslijed,naziv,opis,datum_stupanja_na_snagu,datum_objave,verzija,status,jezik,format,velicina,url,redoslijed,featured
Pravila i uslovi,1,Pravila poslovanja,Opšti uslovi i pravila poslovanja Društva (verzija 2017).,,,,aktivan,SR,PDF,289 KB,assets/dokumenti/pravila-poslovanja-2017.pdf,1,FALSE
Cjenovnik,2,Cjenovnik usluga (domaće tržište),Zvanični cjenovnik usluga (verzija 2018).,,,,aktivan,SR,PDF,75 KB,assets/dokumenti/cjenovnik-2018.pdf,1,FALSE
Cjenovnik,2,Cjenovnik — skraćeni pregled,Skraćeni pregled naknada (verzija 2018).,,,,aktivan,SR,PDF,433 KB,assets/dokumenti/cjenovnik-skraceni-2018.pdf,2,FALSE
Cjenovnik,2,Provizije — inostrana tržišta,Naknade za trgovanje na inostranim tržištima.,,,,aktivan,SR,PDF,299 KB,assets/dokumenti/cjenovnik-inostrana-trzista.pdf,3,FALSE
Cjenovnik,2,Provizije — svjetske berze (2025),Pregled provizija za trgovanje na svjetskim berzama (oktobar 2025).,,,,aktivan,SR,PDF,219 KB,assets/dokumenti/cjenovnik-svjetske-berze-2025.pdf,4,FALSE
Obrasci,3,Obrazac za izdavanje naloga,Nalog za kupovinu/prodaju hartija od vrijednosti.,,,,aktivan,SR,PDF,260 KB,assets/dokumenti/obrazac-nalog.pdf,1,FALSE
Obrasci,3,Punomoć za zastupanje,Ovlašćenje za zastupanje u poslovima sa HOV.,,,,aktivan,SR,PDF,29 KB,assets/dokumenti/punomoc-za-zastupanje.pdf,2,FALSE
Obrasci,3,Zahtjev za isplatu novčanih sredstava,Zahtjev za isplatu sredstava sa računa (2017).,,,,aktivan,SR,PDF,26 KB,assets/dokumenti/zahtjev-za-isplatu.pdf,3,FALSE
Obrasci,3,Obrazac za razvrstavanje klijenata,Kategorizacija klijenta u skladu sa propisima.,,,,aktivan,SR,PDF,109 KB,assets/dokumenti/obrazac-razvrstavanje-klijenata.pdf,4,FALSE
Obrasci,3,Instrukcije za uplatu sredstava,Instrukcije za uplatu radi kupovine hartija od vrijednosti.,,,,aktivan,SR,PDF,287 KB,assets/dokumenti/instrukcije-za-uplatu.pdf,5,FALSE
Izjave,4,Izjava o porijeklu imovine,Izjava u skladu sa AML/CFT propisima.,,,,aktivan,SR,PDF,250 KB,assets/dokumenti/izjava-porijeklo-imovine.pdf,1,FALSE
Izjave,4,Izjava stvarnog vlasnika pravnog lica,Izjava o stvarnom vlasniku pravnog lica.,,,,aktivan,SR,PDF,173 KB,assets/dokumenti/izjava-stvarni-vlasnik.pdf,2,FALSE
Upitnici,5,Upitnik za klijente (obavezan),Obavezan upitnik pri zasnivanju poslovnog odnosa.,,,,aktivan,SR,PDF,318 KB,assets/dokumenti/upitnik-klijent-obavezan.pdf,1,FALSE
Upitnici,5,Upitnik za profil klijenta,Utvrđivanje profila i znanja/iskustva klijenta.,,,,aktivan,SR,PDF,180 KB,assets/dokumenti/upitnik-profil-klijenta.pdf,2,FALSE
Upitnici,5,Upitnik za profil — investiciono savjetovanje,Profil klijenta za uslugu investicionog savjetovanja.,,,,aktivan,SR,PDF,342 KB,assets/dokumenti/upitnik-profil-savjetovanje.pdf,3,FALSE
Upitnici,5,Upitnik — tolerancija rizika,Procjena tolerancije na rizik za savjetovanje.,,,,aktivan,SR,PDF,261 KB,assets/dokumenti/upitnik-tolerancija-rizika.pdf,4,FALSE
Upitnici,5,Upitnik za inostrana tržišta,Upitnik za trgovanje na inostranim tržištima.,,,,aktivan,SR,PDF,70 KB,assets/dokumenti/upitnik-inostrana-trzista.pdf,5,FALSE
Otvaranje računa,6,Potrebna dokumentacija — domaće fizičko lice,Spisak dokumenata za zasnivanje odnosa (domaće fizičko lice).,,,,aktivan,SR,PDF,265 KB,assets/dokumenti/dokumentacija-domace-fizicko.pdf,1,FALSE
Otvaranje računa,6,Potrebna dokumentacija — domaće pravno lice,Spisak dokumenata za zasnivanje odnosa (domaće pravno lice).,,,,aktivan,SR,PDF,248 KB,assets/dokumenti/dokumentacija-domace-pravno.pdf,2,FALSE
Otvaranje računa,6,Potrebna dokumentacija — strano fizičko lice,Spisak dokumenata za zasnivanje odnosa (strano fizičko lice).,,,,aktivan,SR,PDF,281 KB,assets/dokumenti/dokumentacija-strano-fizicko.pdf,3,FALSE
Otvaranje računa,6,Potrebna dokumentacija — strano pravno lice,Spisak dokumenata za zasnivanje odnosa (strano pravno lice).,,,,aktivan,SR,PDF,268 KB,assets/dokumenti/dokumentacija-strano-pravno.pdf,4,FALSE
