kategorija,naziv,fajl,tip,velicina_kb,opis
Pravila i uslovi,Pravila poslovanja,assets/dokumenti/pravila-poslovanja-2017.pdf,PDF,289,Opšti uslovi i pravila poslovanja Društva (verzija 2017).
Cjenovnik,Cjenovnik usluga (domaće tržište),assets/dokumenti/cjenovnik-2018.pdf,PDF,75,Zvanični cjenovnik usluga (verzija 2018).
Cjenovnik,Cjenovnik — skraćeni pregled,assets/dokumenti/cjenovnik-skraceni-2018.pdf,PDF,433,Skraćeni pregled naknada (verzija 2018).
Cjenovnik,Provizije — inostrana tržišta,assets/dokumenti/cjenovnik-inostrana-trzista.pdf,PDF,299,Naknade za trgovanje na inostranim tržištima.
Cjenovnik,Provizije — svjetske berze (2025),assets/dokumenti/cjenovnik-svjetske-berze-2025.pdf,PDF,219,Pregled provizija za trgovanje na svjetskim berzama (oktobar 2025).
Obrasci,Obrazac za izdavanje naloga,assets/dokumenti/obrazac-nalog.pdf,PDF,260,Nalog za kupovinu/prodaju hartija od vrijednosti.
Obrasci,Punomoć za zastupanje,assets/dokumenti/punomoc-za-zastupanje.pdf,PDF,29,Ovlašćenje za zastupanje u poslovima sa HOV.
Obrasci,Zahtjev za isplatu novčanih sredstava,assets/dokumenti/zahtjev-za-isplatu.pdf,PDF,26,Zahtjev za isplatu sredstava sa računa (2017).
Obrasci,Obrazac za razvrstavanje klijenata,assets/dokumenti/obrazac-razvrstavanje-klijenata.pdf,PDF,109,Kategorizacija klijenta u skladu sa propisima.
Obrasci,Instrukcije za uplatu sredstava,assets/dokumenti/instrukcije-za-uplatu.pdf,PDF,287,Instrukcije za uplatu radi kupovine hartija od vrijednosti.
Izjave,Izjava o porijeklu imovine,assets/dokumenti/izjava-porijeklo-imovine.pdf,PDF,250,Izjava u skladu sa AML/CFT propisima.
Izjave,Izjava stvarnog vlasnika pravnog lica,assets/dokumenti/izjava-stvarni-vlasnik.pdf,PDF,173,Izjava o stvarnom vlasniku pravnog lica.
Upitnici,Upitnik za klijente (obavezan),assets/dokumenti/upitnik-klijent-obavezan.pdf,PDF,318,Obavezan upitnik pri zasnivanju poslovnog odnosa.
Upitnici,Upitnik za profil klijenta,assets/dokumenti/upitnik-profil-klijenta.pdf,PDF,180,Utvrđivanje profila i znanja/iskustva klijenta.
Upitnici,Upitnik za profil — investiciono savjetovanje,assets/dokumenti/upitnik-profil-savjetovanje.pdf,PDF,342,Profil klijenta za uslugu investicionog savjetovanja.
Upitnici,Upitnik — tolerancija rizika,assets/dokumenti/upitnik-tolerancija-rizika.pdf,PDF,261,Procjena tolerancije na rizik za savjetovanje.
Upitnici,Upitnik za inostrana tržišta,assets/dokumenti/upitnik-inostrana-trzista.pdf,PDF,70,Upitnik za trgovanje na inostranim tržištima.
Otvaranje računa,Potrebna dokumentacija — domaće fizičko lice,assets/dokumenti/dokumentacija-domace-fizicko.pdf,PDF,265,Spisak dokumenata za zasnivanje odnosa (domaće fizičko lice).
Otvaranje računa,Potrebna dokumentacija — domaće pravno lice,assets/dokumenti/dokumentacija-domace-pravno.pdf,PDF,248,Spisak dokumenata za zasnivanje odnosa (domaće pravno lice).
Otvaranje računa,Potrebna dokumentacija — strano fizičko lice,assets/dokumenti/dokumentacija-strano-fizicko.pdf,PDF,281,Spisak dokumenata za zasnivanje odnosa (strano fizičko lice).
Otvaranje računa,Potrebna dokumentacija — strano pravno lice,assets/dokumenti/dokumentacija-strano-pravno.pdf,PDF,268,Spisak dokumenata za zasnivanje odnosa (strano pravno lice).
