mjesec,webinar,opis,webinar_datum,webinar_vrijeme,webinar_prijava
Webinar · M1,Prvi koraci na stranim tržištima,,,,
Webinar · M2,Obveznice: kako se kupuju i šta nose,,,,
Webinar · M3,Finansiranje preduzeća putem tržišta kapitala,,,,
Webinar · M4,Ulaganje iz dijaspore,,,,
Webinar · M5,Najčešće greške početnika,,,,
Webinar · M6,Kada ima smisla platiti investicioni savjet,,,,
Webinar · M7,Kako funkcioniše Banjalučka berza,,,,
Webinar · M8,Kako se sastavlja jednostavan portfelj,,,,
Webinar · M9,Institucionalno izvještavanje (po pozivu),,,,
Webinar · M10,Troškovi i porezi u globalnom ulaganju,,,,
Webinar · M11,Za povratnike i dijasporu,,,,
Webinar · M12,Plan za narednu godinu,,,,
